time,open,high,low,close,tick_volume,spread,real_volume
2018-05-24,6955.44,6973.19,6884.69,6953.69,175251,0,0
2018-05-25,6954.19,7001.94,6941.94,6961.19,113001,0,0
2018-05-28,6989.69,7006.19,6969.19,6996.32,67371,0,0
2018-05-29,6986.19,6993.69,6889.94,6947.19,168501,0,0
2018-05-30,6946.69,6993.44,6917.69,6981.94,116251,0,0
2018-05-31,6974.69,7022.69,6957.69,6981.44,123251,0,0
2018-06-01,6979.69,7089.69,6976.69,7084.44,121251,0,0
2018-06-04,7075.19,7150.69,7071.19,7147.44,86751,0,0
2018-06-05,7148.19,7186.69,7136.69,7181.94,66251,0,0
2018-06-06,7181.69,7221.44,7141.69,7216.19,125001,0,0
2018-06-07,7215.69,7233.44,7116.19,7160.69,179501,0,0
2018-06-08,7158.69,7162.17,7077.19,7148.67,159941,0,0
2018-06-11,7132.8,7188.19,7124.3,7164.19,96391,0,0
2018-06-12,7164.44,7216.19,7154.69,7214.44,73001,0,0
2018-06-13,7241.19,7289.44,7218.94,7231.94,131751,0,0
2018-06-14,7229.69,7320.19,7204.44,7310.69,150501,0,0
2018-06-15,7308.69,7317.44,7244.44,7277.69,115001,0,0
2018-06-18,7275.44,7288.44,7208.19,7270.69,155751,0,0
2018-06-19,7274.44,7277.69,7157.44,7253.19,219251,0,0
2018-06-20,7254.19,7333.94,7226.19,7312.94,156751,0,0
2018-06-21,7316.44,7356.69,7225.69,7227.69,173251,0,0
2018-06-22,7224.44,7273.19,7197.94,7217.94,144001,0,0
2018-06-25,7186.44,7197.19,6995.44,7067.44,284501,0,0
2018-06-26,7065.69,7129.19,7039.69,7087.44,157251,0,0
2018-06-27,7095.94,7150.69,6987.44,6994.69,225251,0,0
2018-06-28,6997.94,7075.19,6955.44,7056.44,181001,0,0
2018-06-29,7056.94,7122.19,7044.69,7067.19,144751,0,0
2018-07-02,7072.94,7118.69,6986.94,7114.94,221501,0,0
2018-07-03,7113.19,7164.19,7021.94,7022.19,193501,0,0
2018-07-04,7019.69,7051.94,7014.44,7040.94,53751,0,0
2018-07-05,7041.69,7126.44,7016.44,7124.69,137001,0,0
2018-07-06,7116.69,7236.69,7100.69,7229.44,159251,0,0
2018-07-09,7234.44,7302.69,7232.44,7300.94,74001,0,0
2018-07-10,7300.19,7333.44,7258.69,7271.94,121251,0,0
2018-07-11,7256.19,7288.94,7203.94,7253.69,167501,0,0
2018-07-12,7255.94,7386.19,7248.69,7381.19,149751,0,0
2018-07-13,7381.44,7413.19,7366.69,7395.69,78751,0,0
2018-07-16,7398.82,7412.69,7315.19,7319.69,115871,0,0
2018-07-17,7320.07,7435.18,7291.93,7423.93,182641,0,0
2018-07-18,7423.06,7436.93,7381.43,7397.93,85871,0,0
2018-07-19,7399.31,7415.18,7354.43,7366.68,88871,0,0
2018-07-20,7379.31,7412.67,7350.18,7364.93,110601,0,0
2018-07-23,7372.18,7431.12,7310.92,7420.22,192361,0,0
2018-07-24,7416.52,7488.72,7386.22,7409.92,198401,0,0
2018-07-25,7410.52,7528.22,7396.22,7484.52,190001,0,0
2018-07-26,7397.42,7447.61,7363.21,7422.51,143711,0,0
2018-07-27,7428.91,7465.71,7262.71,7300.21,277301,0,0
2018-07-30,7293.51,7308.01,7166.41,7208.91,198601,0,0
2018-07-31,7208.11,7297.01,7188.51,7291.51,133601,0,0
2018-08-01,7294.01,7302.91,7240.21,7285.21,116601,0,0
2018-08-02,7286.71,7393.51,7213.41,7391.01,255901,0,0
2018-08-03,7390.71,7413.91,7361.71,7404.61,90501,0,0
2018-08-06,7406.01,7448.91,7386.91,7441.91,88101,0,0
2018-08-07,7440.66,7485.66,7439.41,7473.66,59501,0,0
2018-08-08,7477.16,7494.91,7441.91,7460.16,89001,0,0
2018-08-09,7461.91,7504.66,7458.16,7467.41,87501,0,0
2018-08-10,7470.41,7471.41,7390.16,7430.41,122501,0,0
2018-08-13,7421.41,7478.16,7378.66,7417.66,195251,0,0
2018-08-14,7419.16,7463.91,7396.41,7461.41,92751,0,0
2018-08-15,7460.91,7463.91,7317.66,7378.16,209751,0,0
2018-08-16,7377.66,7433.41,7362.66,7378.66,140501,0,0
2018-08-17,7381.16,7405.16,7321.16,7388.66,160501,0,0
2018-08-20,7388.41,7419.91,7350.91,7378.91,128501,0,0
2018-08-21,7380.41,7451.41,7368.41,7376.16,161751,0,0
2018-08-22,7367.41,7443.91,7354.66,7432.41,113501,0,0
2018-08-23,7432.66,7474.16,7410.66,7422.16,116501,0,0
2018-08-24,7425.66,7498.66,7421.91,7495.16,84001,0,0
2018-08-27,7498.91,7568.16,7497.91,7564.66,74751,0,0
2018-08-28,7577.29,7596.16,7563.66,7579.91,62381,0,0
